n,SHR,Vp,Is50,UCS
1.05,46.5,3909,7.53,66.6
0.81,49.6,4803,3.72,73.3
1.62,48.1,4914,5.37,57.7
0.9,47.7,4215,6.8,71.3
0.65,48.7,5188,6.77,61.5
1.34,43.6,5382,4.4,60.2
0.92,51.3,5292,6.6,68
0.6,47.3,4989,6.28,73.7
0.82,45.5,4990,7.11,80
0.54,54,4440,6.71,66.8
0.63,51.5,4945,6.82,63.5
1.68,51,4646,6.25,71.8
0.77,51.5,5294,6.24,66.2
0.78,46.8,4558,5.69,78.2
0.54,51.1,5200,7.48,93.8
1.08,54.4,5935,8.09,84.8
0.52,50.4,4992,8.09,106.4
0.58,53.3,4980,7.01,92.2
0.73,54.4,5159,8.12,88.1
0.63,51.6,4976,6.79,112.9
0.56,55.7,5557,8.56,112.7
2.85,45.8,4820,3.92,118.6
